customerID,Churn_Probability,Risk_Category,Charge_Score,Priority_Score,Priority_Group,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Partner,Dependents
7590-VHVEG,0.48647716179748757,Medium Risk,0.2513684210526316,0.41594453957403077,Priority 3,1,29.85,29.85,Month-to-month,Electronic check,DSL,No,Yes,No,No,No,No,Yes,No
5575-GNVDE,0.04652747273303443,Low Risk,0.47957894736842105,0.17644291512365043,Priority 3,34,56.95,1889.5,One year,Mailed check,DSL,Yes,No,Yes,No,No,No,No,No
3668-QPYBK,0.3458669492817453,Medium Risk,0.4534736842105263,0.3781489697603796,Priority 3,2,53.85,108.15,Month-to-month,Mailed check,DSL,Yes,Yes,No,No,No,No,No,No
7795-CFOCW,0.044495786691454764,Low Risk,0.3562105263157895,0.13801020857875518,Priority 3,45,42.3,1840.75,One year,Bank transfer (automatic),DSL,Yes,No,Yes,Yes,No,No,No,No
9237-HQITU,0.6396679005246207,High Risk,0.5953684210526317,0.6263780566830239,Priority 2,2,70.7,151.65,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,No,No
9305-CDSKC,0.8807725236852887,Very High Risk,0.8391578947368421,0.8682881350007546,Priority 1,8,99.65,820.5,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,No,No
1452-KIOVK,0.4129101217622081,Medium Risk,0.7503157894736842,0.5141318220756509,Priority 2,22,89.1,1949.4,Month-to-month,Credit card (automatic),Fiber optic,No,Yes,No,No,Yes,No,No,Yes
6713-OKOMC,0.1268926321543516,Low Risk,0.2505263157894737,0.1639827372448882,Priority 3,10,29.75,301.9,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,No,No,No
7892-POOKP,0.6889428108893704,High Risk,0.8825263157894737,0.7470178623594013,Priority 1,28,104.8,3046.05,Month-to-month,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No
6388-TABGU,0.043065155581387835,Low Risk,0.4728421052631579,0.17199824048591886,Priority 3,62,56.15,3487.95,One year,Bank transfer (automatic),DSL,Yes,Yes,No,No,No,No,No,Yes
9763-GRSKD,0.16712194061492458,Low Risk,0.42063157894736847,0.24317483211465774,Priority 3,13,49.95,587.45,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,No,Yes,Yes
7469-LKBCI,0.014657847701835695,Low Risk,0.15957894736842104,0.0581341776018113,Priority 3,16,18.95,326.8,Two year,Credit card (automatic),No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No
8091-TTVAX,0.197901113308949,Low Risk,0.8450526315789473,0.3920465687899485,Priority 3,58,100.35,5681.1,One year,Credit card (automatic),Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No
0280-XJGEX,0.48907673159624826,Medium Risk,0.8732631578947369,0.6043326594857947,Priority 2,49,103.7,5036.3,Month-to-month,Bank transfer (automatic),Fiber optic,No,Yes,Yes,No,Yes,Yes,No,No
5129-JLPIS,0.6118142952697659,High Risk,0.888421052631579,0.6947963224783098,Priority 2,25,105.5,2686.05,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,No
3655-SNQYZ,0.033014649190006115,Low Risk,0.9536842105263158,0.30921551759089905,Priority 3,69,113.25,7895.15,Two year,Credit card (automatic),Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
